Sample Rate = 140.98684210526315
time,type,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,GravX,GravY,GravZ,GyroX,GyroY,GyroZ,QuatW,QuatX,QuatY,QuatZ,LiAccX,LiAccY,LiAccZ,GyroCal,AccelCal,MagCal
0:00:00.345118,t,470,469,345,90,299,251,369,479,9.73,-1.12,0.23,-0.44,0.69,0.00,0.45,0.49,0.56,0.56,0.06,-0.10,-0.02,0.00,1.00,3.00

0:00:00.348119,s,30,28,28,26,26,25,26,26,-1.14,-0.08,-9.73,0.00,-0.13,0.00,0.05,-0.46,0.02,0.02,0.02,0.04,0.20,3.00,3.00,3.00

0:00:00.351119,t,472,470,345,90,300,252,370,483,9.73,-1.12,0.23,-0.56,0.62,0.00,0.45,0.49,0.56,0.56,0.05,-0.07,-0.04,0.00,1.00,3.00

0:00:00.353115,s,30,28,29,28,26,26,26,26,-1.14,-0.08,-9.73,0.00,-0.06,0.00,0.05,-0.46,0.02,0.02,-0.02,0.05,0.21,3.00,3.00,3.00

0:00:00.356120,t,472,470,345,90,300,252,370,482,9.73,-1.12,0.23,-0.37,0.37,0.06,0.45,0.49,0.56,0.56,0.04,-0.02,-0.06,0.00,1.00,3.00

0:00:00.359109,s,30,29,28,26,26,26,25,26,-1.14,-0.08,-9.73,0.00,0.06,0.00,0.05,-0.46,0.02,0.02,0.05,0.02,0.20,3.00,3.00,3.00

0:00:00.362122,t,473,471,346,91,301,254,369,480,9.73,-1.12,0.23,-0.50,0.13,0.06,0.45,0.49,0.56,0.56,0.06,-0.07,-0.06,0.00,1.00,3.00

0:00:00.365112,s,30,28,28,26,26,26,26,26,-1.14,-0.08,-9.73,0.00,-0.19,-0.06,0.05,-0.46,0.02,0.02,0.07,0.01,0.19,3.00,3.00,3.00

0:00:00.368123,t,470,469,344,90,300,252,369,480,9.73,-1.12,0.23,0.00,-0.06,0.06,0.45,0.49,0.56,0.56,0.05,0.00,-0.02,0.00,1.00,3.00

0:00:00.372124,s,30,30,28,27,26,26,26,26,-1.14,-0.08,-9.73,0.00,-0.06,0.00,0.05,-0.46,0.02,0.02,0.09,0.01,0.12,3.00,3.00,3.00

0:00:00.374125,t,470,469,344,90,299,251,369,481,9.73,-1.12,0.23,-0.50,0.06,0.19,0.45,0.49,0.56,0.56,0.07,-0.05,-0.03,0.00,1.00,3.00

0:00:00.377125,s,30,28,28,27,26,26,26,26,-1.14,-0.08,-9.73,-0.06,0.00,-0.06,0.05,-0.46,0.02,0.02,0.10,0.05,0.23,3.00,3.00,3.00

0:00:00.380126,t,470,470,344,90,300,251,370,481,9.73,-1.12,0.23,-0.88,0.00,0.13,0.45,0.49,0.56,0.56,0.04,-0.09,-0.03,0.00,1.00,3.00

0:00:00.382126,s,30,28,27,26,26,26,27,26,-1.14,-0.08,-9.73,0.00,-0.13,0.00,0.05,-0.46,0.02,0.02,0.09,0.02,0.23,3.00,3.00,3.00

0:00:00.385127,t,470,469,345,90,300,251,370,482,9.73,-1.12,0.23,-1.12,0.31,0.06,0.45,0.49,0.56,0.56,0.05,0.00,-0.08,0.00,1.00,3.00

